dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
61,3100,3062,3158,189,489,288.69,283.44,11748.43,8.94,13.78,19.45,26.08,,
62,3796,2998,3514,129,543,274.94,282.2,12210.46,4.52,10.15,21.71,24.03,,
63,3439,3122,3583,49,460,263.11,280.82,12614.81,9,15.8,23.73,30.02,,
64,4327,3779,3882,167,504,252.05,280.22,13044.31,9.69,13.7,24.53,28.78,,
65,3571,3524,4279,154,586,241.97,279.47,13445.46,8.57,14.58,18.63,23.76,,
66,4123,4403,3969,172,499,232.11,278.51,13845.58,12.05,14.88,20.58,26.64,,
67,4367,4379,4275,127,629,222.89,277.73,14244.14,7.52,12.29,16.52,21.82,,
68,4539,4937,4648,334,550,213.82,276.95,14654.52,8.23,11.31,17.27,23.71,,
69,5133,4934,5021,283,605,204.47,276.58,15122.36,14,22.54,19.2,26.4,,
70,5452,5379,5672,359,740,197.1,275.95,15491.01,11.17,13.78,14.39,17.6,,
71,5363,4947,4688,360,536,190.35,275.39,15843.37,9.85,12.28,17.65,21.57,,
72,5454,5718,6168,294,890,183.63,275.06,16222.8,8.92,10.53,18.16,25.26,,
73,5716,6178,5898,322,689,177.47,274.64,16578.39,12.01,14.16,13.95,17.13,,
74,6319,5817,5796,326,759,170.81,273.52,16937.95,10.94,13.66,16.23,19.8,,
75,6160,6683,6357,407,809,164.16,273,17352,10.17,12.84,17.18,19.57,,
76,6268,6151,6394,329,678,158.01,273.09,17790.02,12.09,13.98,14.71,17.56,,
77,6331,6812,6363,473,512,151.58,272.95,18254.3,11.06,14.3,16.95,21.4,,
78,6942,7101,7074,430,761,145.34,273,18740.92,10.21,16.25,16.25,18.55,,
79,6500,7006,6663,391,806,139.59,272.74,19190.74,11.18,13.86,14.95,16.81,,
80,6663,7673,7290,646,855,133.77,272.27,19653.02,11.45,13.8,15.23,21.13,,
81,7484,7498,7551,596,815,128.52,271.93,20097.95,11.04,13.31,18.72,20.72,,
82,7372,7123,7666,517,860,123.14,271.81,20594.04,10.35,12.44,19.34,25.17,,
83,7833,7377,7316,562,880,117.63,271.93,21149.18,10.27,13.03,17.27,20.6,,
84,7897,8028,7171,524,931,112.41,271.8,21683.89,12.26,15.53,18,21.91,,
85,8008,7885,7624,494,721,107.24,271.67,22244.01,9.81,12.62,22.03,27.84,,
86,8252,7937,8190,463,933,103,271.14,22692.06,12.29,15.97,18.03,20.68,,
87,8330,7576,8100,484,926,99.16,271.44,23184.52,10.63,16.62,17.86,22.82,,
88,8080,7779,8457,524,823,95.16,271.69,23715.52,11.82,14.73,17.07,20.37,,
89,8293,8100,8499,635,993,91.18,271.97,24276,11.43,14.32,19.66,23.68,,
90,8211,8045,7972,537,806,87.28,272.28,24854.52,12.55,15.39,16.25,23.75,,
91,8124,7761,8444,577,1061,83.75,272.61,25411.4,12.88,14.83,14.43,17.84,,
92,8565,7686,7911,692,744,80.36,273.11,25990.29,12.16,19.13,16.78,20.36,,
93,8261,8143,8730,548,921,77.06,273.34,26557.3,13.96,18.5,17.95,21.59,,
94,8641,8201,8800,648,1056,73.78,273.74,27164.62,12.37,13.97,15.98,19.96,,
95,7984,8493,7796,767,791,70.54,274.39,27824.34,10.96,13.5,18.14,21.68,,
96,8502,7579,8593,679,997,67.73,274.78,28408.87,12.28,14.33,15.98,21.25,,
97,8101,9016,8553,729,808,65.01,275.29,29014.94,10.49,13.38,19.32,23.61,,
98,8920,8570,8790,813,1029,62.44,275.78,29616.78,10.33,12.89,17.87,22.4,,
99,8416,8802,8398,650,813,59.73,276.15,30267.37,10.62,13.23,14.49,16.2,,
100,8452,8301,9066,635,970,57.18,276.53,30914.49,9.36,13.22,17.75,20.77,,
101,8616,8497,8327,718,849,54.61,277.14,31627.59,8.06,10.81,17.49,22.43,,
102,8605,8678,8592,659,970,52.25,277.63,32311.65,10.94,16.12,16.55,21.12,,
103,7941,9084,8675,818,701,50.02,278.2,33005.42,6.46,9.66,18.41,21.39,,
104,8622,8331,8760,801,565,47.66,278.64,33756.79,6.63,11.41,18.64,22.94,,
105,8201,7836,8628,608,711,45.56,279.06,34468.82,9.24,12.72,18.26,22.92,,
106,8749,8477,8690,727,689,43.66,279.51,35152.91,10.34,12.59,17.57,22.96,,
107,8547,8226,8419,697,834,41.77,279.99,35875.59,7.96,10.79,18.41,22.56,,
108,6993,8177,7980,702,469,39.85,280.42,36637.54,9.49,12.13,19.53,23.05,,
109,7729,7962,8064,683,696,38.09,280.93,37394.08,11.1,14.32,15.63,19.03,,
110,7866,7903,7751,675,705,36.48,281.46,38131.09,9.74,12.88,17.73,21.94,,
111,8151,7626,7819,772,702,34.94,281.97,38870.22,11.93,15.64,15.87,18.88,,
112,7738,7810,8060,596,487,33.33,282.39,39670.98,12.01,14.85,17.96,20.99,,
113,7750,7236,7931,773,745,31.78,282.79,40484.46,9.58,12.44,17.96,22.26,,
114,7564,7832,7694,708,614,30.35,283.16,41273.34,7.44,10.91,19.72,24.86,,
115,7759,7613,7427,818,594,28.97,283.59,42094.11,8.7,12.16,17.77,21.06,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
0,6958,6989,6428,595,532,25.77,284.38,44145.51,7,10.71,11.12,17.28,,
1,7068,6549,6621,639,583,24.6,284.62,44963.48,9.48,12.73,14.76,19.32,,
2,6263,6405,6305,817,479,23.46,284.74,45783.06,4.75,7.81,16.05,19.78,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
0,6319,6959,6408,694,501,21.18,284.81,47551.73,4.97,8.53,12.03,19.02,,
1,6751,6919,6451,571,640,20.11,284.94,48477.96,6.95,10.75,15.23,21.18,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
0,6201,5977,5655,629,364,18.18,285.14,50304.06,3.99,7.88,11.31,14.95,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
0,6622,6729,6344,494,650,152.87,273.78,18212.67,8.09,11.6,8.25,10.63,,
1,5990,5987,6292,342,799,174.23,272.54,16656.47,10.82,12,10.13,11.93,,
2,5318,5376,5332,357,755,196.59,270.6,15218.55,11.54,12.53,9.01,9.77,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
